"Артикул","Название","Описание","Цена","Вес","категория","Картинка","Цвет","Инд. Магазина","Материал","Размер","Мужской/Женский"
10111055,"хлопковое платье-кардиган","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",107,"0,6","одежда>>платья>>casual,Платья-рубашки,Sonia by Sonia Rykiel","10111055-1.jpg||10111055-2.jpg","C1||N2",,"хлопок ,полиэстер ","2,4,6 ","Женский"
10111052,"кружевное коктейльное платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",143,"0,56","одежда>>платья>>коктейльные,Нежность кружева,Prada","10111052-1.jpg","N1",,"кружево ","S, M, L ","Женский"
10111040,"теплое шерстяное платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",135,"0,7","одежда>>платья>>casual,Банты,Christian Dior","10111040-1.jpg||10111040-2.jpg||10111040-3.jpg||10111040-4.jpg","G1||A4||K1||N1",,"шерсть,полиэстер ","S,M,L","Женский"
10111141,"винтажное платье с мехом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",156,"0,5","одежда>>платья>>casual,Винтаж,Anna Sui ","10111141-1.jpg||10111141-2.jpg","H2||E1",,"бархат ,шерсть кролика ","S, M, L ","Женский"
10110834,"леопардовое платье с мехом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",130,"0,56","одежда>>платья>>коктейльные,Звериные принты,Anna Sui ","10110834-1.jpg||10110834-2.jpg","M2||J2",,"бархат,шерсть кролика ","S, M, L ","Женский"
10110825,"белое платье с орнаментом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",129,"0,67","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui ","10110825-1.jpg","M5",,"хлопок ","S, M, L ","Женский"
10102918,"короткое кожаное  платье с шелком","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",136,"0,54","одежда>>платья>>коктейльные,Элегантность кожи,Anna Sui","10102918-1.jpg||10102918-2.jpg","H1||N1",,"шелк , PU ","S, M, L ","Женский"
10102115,"платье ручная вышивка бисером","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",127,"0,46","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui ","10102115-1.jpg","J1",,"шерсть ,хлопок ","S, M, L ","Женский"
10102824,"винтажное платье с шарфом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",120,"0,5","одежда>>платья>>коктейльные,Винтаж,Anna Sui ","10102743-1.jpg","N1",,"бархат ","S, M, L ","Женский"
10102818,"шелковое платье с орнаментом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",120,"0,45","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10102818-1.jpg||10102818-2.jpg","H2||C3",,"шелк ","S, M, L ","Женский"
